date,price,company
2022-06-06,107.94590759277344,3M
2022-06-07,108.43318176269531,3M
2022-06-08,107.36266326904297,3M
2022-06-09,106.44718933105469,3M
2022-06-10,101.62611389160156,3M
2022-06-13,100.68109893798828,3M
2022-06-14,99.85420989990234,3M
2022-06-15,99.17497253417969,3M
2022-06-16,96.67215728759766,3M
2022-06-17,95.86004638671875,3M
2022-06-21,95.98554992675781,3M
2022-06-22,96.27349090576172,3M
2022-06-23,96.08890533447266,3M
2022-06-24,99.17497253417969,3M
2022-06-27,98.0453872680664,3M
2022-06-28,96.22181701660156,3M
2022-06-29,95.80835723876953,3M
2022-06-30,95.54257202148438,3M
2022-07-01,94.86334991455078,3M
2022-07-05,95.39493560791016,3M
2022-07-06,95.86004638671875,3M
2022-07-07,96.01508331298828,3M
2022-07-08,95.03314971923828,3M
2022-07-11,95.24726104736328,3M
2022-07-12,96.1258316040039,3M
2022-07-13,94.7747573852539,3M
2022-07-14,94.73046112060547,3M
2022-07-15,96.07415771484375,3M
2022-07-18,95.17343139648438,3M
2022-07-19,97.55072021484375,3M
2022-07-20,98.20043182373047,3M
2022-07-21,98.8944320678711,3M
2022-07-22,99.01992797851562,3M
2022-07-25,99.01992797851562,3M
2022-07-26,103.91482543945312,3M
2022-07-27,102.51945495605469,3M
2022-07-28,103.63428497314453,3M
2022-07-29,105.753173828125,3M
2022-08-01,105.8417739868164,3M
2022-08-02,104.65312194824219,3M
2022-08-03,105.93775177001953,3M
2022-08-04,109.35604095458984,3M
2022-08-05,108.83186340332031,3M
2022-08-08,109.62184143066406,3M
2022-08-09,109.14932250976562,3M
2022-08-10,110.28630065917969,3M
2022-08-11,110.49303436279297,3M
2022-08-12,112.3978271484375,3M
2022-08-15,111.79981231689453,3M
2022-08-16,110.93598937988281,3M
2022-08-17,108.84664154052734,3M
2022-08-18,108.29291534423828,3M
2022-08-19,108.30036163330078,3M
2022-08-22,105.60777282714844,3M
2022-08-23,105.72712707519531,3M
2022-08-24,105.19755554199219,3M
2022-08-25,106.48045349121094,3M
2022-08-26,96.32168579101562,3M
2022-08-29,94.30785369873047,3M
2022-08-30,93.12936401367188,3M
2022-08-31,92.74897766113281,3M
2022-09-01,93.70368957519531,3M
2022-09-02,90.73511505126953,3M
2022-09-06,86.96847534179688,3M
2022-09-07,89.91466522216797,3M
2022-09-08,88.95994567871094,3M
2022-09-09,91.816650390625,3M
2022-09-12,92.67440032958984,3M
2022-09-13,89.8550033569336,3M
2022-09-14,87.66214752197266,3M
2022-09-15,86.83422088623047,3M
2022-09-16,86.9759292602539,3M
2022-09-19,86.9983139038086,3M
2022-09-20,86.90879821777344,3M
2022-09-21,85.63336944580078,3M
2022-09-22,85.1336441040039,3M
2022-09-23,84.27589416503906,3M
2022-09-26,84.2833480834961,3M
2022-09-27,83.84327697753906,3M
2022-09-28,85.23806762695312,3M
2022-09-29,83.76126098632812,3M
2022-09-30,82.41865539550781,3M
2022-10-03,84.44743347167969,3M
2022-10-04,86.23753356933594,3M
2022-10-05,85.90188598632812,3M
2022-10-06,82.88111114501953,3M
2022-10-07,80.19598388671875,3M
2022-10-10,80.89710235595703,3M
2022-10-11,81.18052673339844,3M
2022-10-12,81.26258087158203,3M
2022-10-13,85.22314453125,3M
2022-10-14,84.75325775146484,3M
2022-10-17,84.92478942871094,3M
2022-10-18,86.48365020751953,3M
2022-10-19,85.17838287353516,3M
2022-10-20,84.36539459228516,3M
2022-10-21,87.1251220703125,3M
2022-10-24,88.29612731933594,3M
2022-10-25,88.38563537597656,3M
2022-10-26,91.5182876586914,3M
2022-10-27,91.59288024902344,3M
2022-10-28,94.42717742919922,3M
2022-10-31,93.8230209350586,3M
2022-11-01,93.45755767822266,3M
2022-11-02,91.63763427734375,3M
2022-11-03,91.63015747070312,3M
2022-11-04,93.11445617675781,3M
2022-11-07,92.99510955810547,3M
2022-11-08,93.4948501586914,3M
2022-11-09,92.36112976074219,3M
2022-11-10,96.32913970947266,3M
2022-11-11,99.18584442138672,3M
2022-11-14,97.73138427734375,3M
2022-11-15,97.87310028076172,3M
2022-11-16,96.02334594726562,3M
2022-11-17,95.94788360595703,3M
2022-11-18,95.65360260009766,3M
2022-11-21,96.31011199951172,3M
2022-11-22,97.04207611083984,3M
2022-11-23,96.58929443359375,3M
2022-11-25,97.37408447265625,3M
2022-11-28,94.05384063720703,3M
2022-11-29,95.17818450927734,3M
2022-11-30,95.05745697021484,3M
2022-12-01,95.07254028320312,3M
2022-12-02,95.8271484375,3M
2022-12-05,94.04627990722656,3M
2022-12-06,94.00856018066406,3M
2022-12-07,95.34420013427734,3M
2022-12-08,95.0801010131836,3M
2022-12-09,94.89899444580078,3M
2022-12-12,95.72151184082031,3M
2022-12-13,96.05352783203125,3M
2022-12-14,95.14800262451172,3M
2022-12-15,92.34842681884766,3M
2022-12-16,91.82774353027344,3M
2022-12-19,92.1597671508789,3M
2022-12-20,91.1636962890625,3M
2022-12-21,93.16339874267578,3M
2022-12-22,91.75228881835938,3M
2022-12-23,90.65812683105469,3M
2022-12-27,90.71847534179688,3M
2022-12-28,89.26209259033203,3M
2022-12-29,90.98258209228516,3M
2022-12-30,90.49209594726562,3M
2023-01-03,92.41633605957031,3M
2023-01-04,94.43867492675781,3M
2023-01-05,92.78608703613281,3M
2023-01-06,95.6234130859375,3M
2023-01-09,95.67623901367188,3M
2023-01-10,96.6874008178711,3M
2023-01-11,97.43445587158203,3M
2023-01-12,97.60801696777344,3M
2023-01-13,97.72875213623047,3M
2023-01-17,95.5328598022461,3M
2023-01-18,92.62763214111328,3M
2023-01-19,89.36773681640625,3M
2023-01-20,91.04296112060547,3M
2023-01-23,92.52953338623047,3M
2023-01-24,86.77946472167969,3M
2023-01-25,85.21742248535156,3M
2023-01-26,85.68527221679688,3M
2023-01-27,86.96810913085938,3M
2023-01-30,84.95330047607422,3M
2023-01-31,86.83980560302734,3M
2023-02-01,87.42839813232422,3M
2023-02-02,90.77130126953125,3M
2023-02-03,88.65840911865234,3M
2023-02-06,87.91134643554688,3M
2023-02-07,88.21319580078125,3M
2023-02-08,86.96810913085938,3M
2023-02-09,85.21742248535156,3M
2023-02-10,85.93429565429688,3M
2023-02-13,86.9907455444336,3M
2023-02-14,86.18331146240234,3M
2023-02-15,86.6209716796875,3M
2023-02-16,85.63465881347656,3M
2023-02-17,86.39159393310547,3M
2023-02-21,83.53199768066406,3M
2023-02-22,83.29500579833984,3M
2023-02-23,83.27205657958984,3M
2023-02-24,82.4233627319336,3M
2023-02-27,82.78271484375,3M
2023-02-28,82.37747192382812,3M
2023-03-01,84.26602935791016,3M
2023-03-02,84.02901458740234,3M
2023-03-03,85.06885528564453,3M
2023-03-06,84.05194854736328,3M
2023-03-07,81.8804931640625,3M
2023-03-08,81.93402862548828,3M
2023-03-09,80.68008422851562,3M
2023-03-10,79.56376647949219,3M
2023-03-13,79.1355972290039,3M
2023-03-14,78.58509063720703,3M
2023-03-15,78.58509063720703,3M
2023-03-16,79.67845916748047,3M
2023-03-17,78.76859283447266,3M
2023-03-20,79.75492095947266,3M
2023-03-21,79.73963165283203,3M
2023-03-22,77.63699340820312,3M
2023-03-23,77.22411346435547,3M
2023-03-24,77.33116149902344,3M
2023-03-27,77.59876251220703,3M
2023-03-28,77.78990173339844,3M
2023-03-29,78.89856719970703,3M
2023-03-30,78.58509063720703,3M
2023-03-31,80.36660766601562,3M
2023-04-03,79.95370483398438,3M
2023-04-04,78.17984008789062,3M
2023-04-05,78.21044921875,3M
2023-04-06,77.65228271484375,3M
2023-04-10,78.56980895996094,3M
2023-04-11,79.94606018066406,3M
2023-04-12,79.8008041381836,3M
2023-04-13,81.16177368164062,3M
2023-04-14,80.8712387084961,3M
2023-04-17,81.64347076416016,3M
2023-04-18,81.25352478027344,3M
2023-04-19,81.1082534790039,3M
