ds,y,sentiment,sentiment_lag_1,sentiment_lag_2,sentiment_lag_3,sentiment_lag_4,sentiment_lag_5,sentiment_lag_6,sentiment_lag_7,ma5,ma10,rsi,macd,macd_signal,volatility,gold,oil,dxy,bond,vix,spy_volume
2020-07-20,8.08697629599328,-0.4117792228377347,-0.99693626,-0.7218091835,-0.33234890333333333,-0.9413070299999999,-0.5011514010716205,-0.502311337,-0.7752603340572964,3223.24404296875,3192.3790283203125,64.03945834366263,44.623304038002516,37.558240147444735,19.69487892303106,1815.9000244140625,40.810001373291016,95.83000183105469,0.6200000047683716,24.459999084472656,56308800.0
2020-07-21,8.08865392532784,-0.5234919467155322,-0.4117792228377347,-0.99693626,-0.7218091835,-0.33234890333333333,-0.9413070299999999,-0.5011514010716205,-0.502311337,3235.200048828125,3203.5770263671875,64.52965868592307,46.815686676507084,39.409729453257206,18.26820185393941,1842.4000244140625,41.959999084472656,95.12000274658203,0.6069999933242798,24.84000015258789,57292200.0
2020-07-22,8.094384555922312,-0.6646241671833663,-0.5234919467155322,-0.4117792228377347,-0.99693626,-0.7218091835,-0.33234890333333333,-0.9413070299999999,-0.5011514010716205,3245.092041015625,3214.1850341796876,66.2294135791966,49.493184279271645,41.4264204184601,24.684366639996977,1864.0999755859375,41.900001525878906,94.97000122070312,0.5950000286102295,24.31999969482422,57792900.0
2020-07-23,8.081988177510066,-0.501151303663825,-0.6646241671833663,-0.5234919467155322,-0.4117792228377347,-0.99693626,-0.7218091835,-0.33234890333333333,-0.9413070299999999,3249.110009765625,3222.5460205078125,59.598297663911744,47.80730421041244,42.70259717685057,19.836643160317237,1889.0999755859375,41.06999969482422,94.69000244140625,0.5820000171661377,26.079999923706055,75738000.0
2020-07-24,8.07577853748579,-0.7219512500572964,-0.501151303663825,-0.6646241671833663,-0.5234919467155322,-0.4117792228377347,-0.99693626,-0.7218091835,-0.33234890333333333,3247.289990234375,3225.6050048828124,56.57107678763618,44.34380832411489,43.03083940630343,22.825097832699857,1897.300048828125,41.290000915527344,94.44000244140625,0.5889999866485596,25.84000015258789,73766600.0
2020-07-27,8.083146466307273,-0.502311337,-0.5765193200465922,-0.33487408821843334,-0.7219512500572964,-0.501151303663825,-0.6646241671833663,-0.5234919467155322,-0.4117792228377347,3244.803955078125,3234.0239990234377,59.21944788835631,43.02188302008199,43.02904812905915,22.882475570146564,1931.0,41.599998474121094,93.66999816894531,0.609000027179718,24.739999771118164,48293000.0
2020-07-28,8.076652030888626,-0.29778806476216063,-0.502311337,-0.5765193200465922,-0.33487408821843334,-0.7219512500572964,-0.501151303663825,-0.6646241671833663,-0.5234919467155322,3237.03193359375,3236.1159912109374,55.97765968216809,39.82309051188531,42.38785660562438,24.141862091538794,1944.699951171875,41.040000915527344,93.76000213623047,0.5809999704360962,25.440000534057617,57495000.0
2020-07-29,8.08900381424037,-0.601625973490297,-0.29778806476216063,-0.502311337,-0.5765193200465922,-0.33487408821843334,-0.7219512500572964,-0.501151303663825,-0.6646241671833663,3233.51591796875,3239.3039794921874,60.4276491742357,40.053972842934854,41.921079853086475,17.376263587445095,1953.5,41.27000045776367,93.26000213623047,0.5789999961853027,24.100000381469727,48454200.0
2020-07-30,8.085246512476914,-0.77588719013106,-0.601625973490297,-0.29778806476216063,-0.502311337,-0.5765193200465922,-0.33487408821843334,-0.7219512500572964,-0.501151303663825,3235.6279296875,3242.3689697265627,58.48270054892181,38.80359554942879,41.29758299235495,18.318238333308287,1942.300048828125,39.91999816894531,93.0199966430664,0.5410000085830688,24.760000228881836,61861700.0
2020-07-31,8.09288774871909,-0.6275378835517667,-0.77588719013106,-0.601625973490297,-0.29778806476216063,-0.502311337,-0.5765193200465922,-0.33487408821843334,-0.7219512500572964,3246.7259765625,3247.0079833984373,61.22161562639337,39.368085474359304,40.91168348875582,19.913385542553506,1962.800048828125,40.27000045776367,93.48999786376953,0.5360000133514404,24.459999084472656,84986800.0
2020-08-03,8.10004311138345,-0.355501487,-0.8856778,-0.631096888,-0.6275378835517667,-0.77588719013106,-0.601625973490297,-0.29778806476216063,-0.502311337,3257.766015625,3251.2849853515627,63.6573592218606,41.235555884675705,40.9764579679398,28.355442915044378,1966.0,41.0099983215332,93.5,0.5630000233650208,24.280000686645508,53077900.0
2020-08-04,8.103648534409583,-0.446682107,-0.355501487,-0.8856778,-0.631096888,-0.6275378835517667,-0.77588719013106,-0.601625973490297,-0.29778806476216063,3275.380029296875,3256.2059814453123,64.86148138765465,43.1780328217792,41.41677293870768,24.971453876331587,2001.199951171875,41.70000076293945,93.37999725341797,0.5149999856948853,23.760000228881836,41917900.0
2020-08-05,8.1100576948451,0.5285622,-0.446682107,-0.355501487,-0.8856778,-0.631096888,-0.6275378835517667,-0.77588719013106,-0.601625973490297,3289.246044921875,3261.3809814453125,66.96721762766205,45.903814302843784,42.3141812115349,31.58601980007573,2031.0999755859375,42.189998626708984,92.83000183105469,0.5429999828338623,22.989999771118164,42697700.0
2020-08-06,8.116464820865765,0.33075306857117265,0.5285622,-0.446682107,-0.355501487,-0.8856778,-0.631096888,-0.6275378835517667,-0.77588719013106,3309.834033203125,3272.7309814453124,68.98128569173223,49.22259391044781,43.69586375131749,30.04084177658256,2051.5,41.95000076293945,92.79000091552734,0.5360000133514404,22.649999618530273,43679400.0
2020-08-07,8.117097650135722,-0.5772606446666667,0.33075306857117265,0.5285622,-0.446682107,-0.355501487,-0.8856778,-0.631096888,-0.6275378835517667,3325.866015625,3286.29599609375,69.18185818952529,51.43096227996148,45.24288345704629,25.21750233292552,2010.0999755859375,41.220001220703125,93.44000244140625,0.5619999766349792,22.209999084472656,57308300.0
2020-08-10,8.119836115409115,-0.5757063819345322,-0.44283889014324096,-0.2977880711925536,-0.5772606446666667,0.33075306857117265,0.5285622,-0.446682107,-0.355501487,3339.03798828125,3298.402001953125,70.08483490796652,53.30815832517919,46.85593843067287,21.775486715606117,2024.4000244140625,41.939998626708984,93.58000183105469,0.5740000009536743,22.1299991607666,44282100.0
2020-08-11,8.111835060007737,-0.6285534468851001,-0.5757063819345322,-0.44283889014324096,-0.2977880711925536,-0.5772606446666667,0.33075306857117265,0.5285622,-0.446682107,3344.473974609375,3309.927001953125,64.18317362645274,52.03509695430057,47.89177013539841,13.411466820156031,1932.5999755859375,41.61000061035156,93.62999725341797,0.6579999923706055,24.030000686645508,69601100.0
2020-08-12,8.12573456230135,-0.47063935,-0.6285534468851001,-0.5757063819345322,-0.44283889014324096,-0.2977880711925536,-0.5772606446666667,0.33075306857117265,0.5285622,3354.989990234375,3322.118017578125,69.07022408736773,54.16686934800782,49.14678997792029,17.136298722075747,1934.9000244140625,42.66999816894531,93.44000244140625,0.6700000166893005,22.280000686645508,53774400.0
2020-08-13,8.123685289625193,-0.8856778,-0.47063935,-0.6285534468851001,-0.5757063819345322,-0.44283889014324096,-0.2977880711925536,-0.5772606446666667,0.33075306857117265,3359.843994140625,3334.839013671875,67.59708850264323,54.667739098548736,50.25097980204599,18.45837068975576,1956.699951171875,42.2400016784668,93.33999633789062,0.7160000205039978,22.1299991607666,41816100.0
2020-08-14,8.123513392228915,-0.446682107,-0.8856778,-0.47063935,-0.6285534468851001,-0.5757063819345322,-0.44283889014324096,-0.2977880711925536,-0.5772606446666667,3364.1580078125,3345.01201171875,67.46724606076371,54.39090967815628,51.078965777268046,18.477076737746454,1937.0,42.0099983215332,93.0999984741211,0.7089999914169312,22.049999237060547,47260400.0
2020-08-17,8.126219569736339,-5.5224999999992086e-05,-0.9413070299999999,-0.297783791365,-0.446682107,-0.8856778,-0.47063935,-0.6285534468851001,-0.5757063819345322,3368.46201171875,3353.75,68.49454433333152,54.28328934444335,51.71983049070311,19.858028542249226,1985.0,42.88999938964844,92.8499984741211,0.6830000281333923,21.350000381469727,35481000.0
2020-08-18,8.128520310156155,-0.9413070299999999,-5.5224999999992086e-05,-0.9413070299999999,-0.297783791365,-0.446682107,-0.8856778,-0.47063935,-0.6285534468851001,3379.680029296875,3362.077001953125,69.38197837121221,54.201786052709394,52.21622160310437,6.955332451927258,1999.4000244140625,42.88999938964844,92.2699966430664,0.6690000295639038,21.510000228881836,38733900.0
2020-08-19,8.124106186810973,-0.6275380134288273,-0.9413070299999999,-5.5224999999992086e-05,-0.9413070299999999,-0.297783791365,-0.446682107,-0.8856778,-0.47063935,3378.580029296875,3366.785009765625,65.5699341357172,52.32925432799357,52.23882814808222,7.251479954364586,1958.699951171875,42.93000030517578,92.88999938964844,0.675000011920929,22.540000915527344,68054200.0
2020-08-20,8.127259841579319,-0.42862539051109444,-0.6275380134288273,-0.9413070299999999,-5.5224999999992086e-05,-0.9413070299999999,-0.297783791365,-0.446682107,-0.8856778,3380.996044921875,3370.42001953125,66.96552818129176,51.116189648374075,52.014300448140595,7.117782520584053,1933.800048828125,42.58000183105469,92.79000091552734,0.6439999938011169,22.719999313354492,42207800.0
2020-08-21,8.130695041562293,-0.2693801759237347,-0.42862539051109444,-0.6275380134288273,-0.9413070299999999,-5.5224999999992086e-05,-0.9413070299999999,-0.297783791365,-0.446682107,3385.8580078125,3375.0080078125,68.46971736799861,50.51259910745148,51.71396018000278,8.357213080522824,1934.5999755859375,42.34000015258789,93.25,0.6399999856948853,22.540000915527344,55106600.0
2020-08-24,8.140688656927194,-0.2952234166666667,-0.6477217323333333,-0.399095255,-0.2693801759237347,-0.42862539051109444,-0.6275380134288273,-0.9413070299999999,-5.5224999999992086e-05,3395.716015625,3382.089013671875,72.42935094020764,52.18589109054665,51.80834636211156,21.4573351530358,1927.699951171875,42.619998931884766,93.30000305175781,0.6460000276565552,22.3700008392334,48588700.0
2020-08-25,8.144278556672734,-0.2519173761207074,-0.2952234166666667,-0.6477217323333333,-0.399095255,-0.2693801759237347,-0.42862539051109444,-0.6275380134288273,-0.9413070299999999,3406.484033203125,3393.08203125,73.71501439672673,53.88655830401285,52.22398875049181,29.671050400547877,1911.800048828125,43.349998474121094,93.0199966430664,0.6819999814033508,22.030000686645508,38463400.0
2020-08-26,8.154422558017577,-0.44283869532764997,-0.2519173761207074,-0.2952234166666667,-0.6477217323333333,-0.399095255,-0.2693801759237347,-0.42862539051109444,-0.6275380134288273,3427.260009765625,3402.92001953125,77.00112694893149,57.405684863449096,53.26032797308327,37.35655877815599,1940.699951171875,43.38999938964844,93.01000213623047,0.6869999766349792,23.270000457763672,50790200.0
2020-08-27,8.156094204049387,-0.8709400033333333,-0.44283869532764997,-0.2519173761207074,-0.2952234166666667,-0.6477217323333333,-0.399095255,-0.2693801759237347,-0.42862539051109444,3447.068017578125,3414.03203125,77.50321374862298,59.97291842029745,54.60284606252611,35.91430823246415,1921.5999755859375,43.040000915527344,93.01000213623047,0.7459999918937683,24.469999313354492,58034100.0
2020-08-28,8.162804206898956,-0.33588550803166667,-0.8709400033333333,-0.44283869532764997,-0.2519173761207074,-0.2952234166666667,-0.6477217323333333,-0.399095255,-0.2693801759237347,3469.238037109375,3427.5480224609373,79.45061300938625,63.17228155620069,56.31673316126103,31.324546020202668,1964.5999755859375,42.970001220703125,92.37000274658203,0.7289999723434448,22.959999084472656,48588900.0
2020-08-31,8.160606831723447,-0.2942078533333333,0.026656673836175017,-0.387367838,-0.33588550803166667,-0.8709400033333333,-0.44283869532764997,-0.2519173761207074,-0.2952234166666667,3483.04404296875,3439.380029296875,77.09182866707435,64.34475193607568,57.92233691622396,24.98269354259736,1967.5999755859375,42.61000061035156,92.13999938964844,0.6930000185966492,26.40999984741211,66099200.0
2020-09-01,8.168103663144153,-0.003843197143241,-0.2942078533333333,0.026656673836175017,-0.387367838,-0.33588550803166667,-0.8709400033333333,-0.44283869532764997,-0.2519173761207074,3499.65,3453.0670166015625,79.35030025609964,66.63126467602251,59.66412246818367,19.137501860101125,1968.199951171875,42.7599983215332,92.33999633789062,0.671999990940094,26.1200008392334,54908700.0
2020-09-02,8.183352713288023,-0.7209730248944153,-0.003843197143241,-0.2942078533333333,0.026656673836175017,-0.387367838,-0.33588550803166667,-0.8709400033333333,-0.44283869532764997,3520.072021484375,3473.666015625,83.05223507364745,71.98622518910997,62.12854301236894,37.19497364140636,1934.4000244140625,41.5099983215332,92.8499984741211,0.6510000228881836,26.56999969482422,69540000.0
2020-09-03,8.147595119145837,-0.260870375,-0.7209730248944153,-0.003843197143241,-0.2942078533333333,0.026656673836175017,-0.387367838,-0.33588550803166667,-0.8709400033333333,3514.1740234375,3480.6210205078123,57.35190867099042,65.32761669916727,62.76835774972861,45.619834308761995,1927.5999755859375,41.369998931884766,92.73999786376953,0.621999979019165,33.599998474121094,148011100.0
2020-09-04,8.139428838391563,-0.446682107,-0.260870375,-0.7209730248944153,-0.003843197143241,-0.2942078533333333,0.026656673836175017,-0.387367838,-0.33588550803166667,3497.964013671875,3483.601025390625,53.37789311105004,57.124680699434975,61.639622339669884,60.372081046693545,1923.9000244140625,39.77000045776367,92.72000122070312,0.7210000157356262,30.75,139156300.0
2020-09-08,8.111280009305096,-0.00384300232765,-0.502311337,-0.9413070299999999,-0.9984135,-0.446682107,-0.260870375,-0.7209730248944153,-0.003843197143241,3464.27001953125,3473.65703125,42.61374813782321,42.45897537739347,57.80349294721461,95.51751313776258,1933.0,36.7599983215332,93.4800033569336,0.6840000152587891,31.459999084472656,114465300.0
2020-09-09,8.131224769967277,-0.942830375,-0.00384300232765,-0.502311337,-0.9413070299999999,-0.9984135,-0.446682107,-0.260870375,-0.7209730248944153,3438.73203125,3469.191015625,50.239267423577296,35.83917930970574,53.410630219712836,91.66186640397699,1944.699951171875,38.04999923706055,93.26000213623047,0.703000009059906,28.809999465942383,91462300.0
2020-09-10,8.11348352404188,-0.7769213328,-0.942830375,-0.00384300232765,-0.502311337,-0.9413070299999999,-0.9984135,-0.446682107,-0.260870375,3390.402001953125,3455.23701171875,44.56079583736137,25.476326937261092,47.823769563222484,53.9503480983771,1954.199951171875,37.29999923706055,93.33999633789062,0.6850000023841858,29.709999084472656,90569500.0
